,keywords,number_of_times_word_appeared,tf,idf,tf_idf
403,e,2877,0.10930851063829787,-7.964503363551548,-0.8705880006435335
927,n,1787,0.0678951367781155,-7.488293515159428,-0.5084187124464247
573,r,1531,0.05816869300911854,-7.333676395657684,-0.4265903708872308
767,l,1174,0.0446048632218845,-7.068172000388042,-0.31527484530606237
650,c,1091,0.04145136778115502,-6.994849985833071,-0.28994609933677357
247,p,737,0.028001519756838907,-6.602587892189336,-0.18488249530940506
822,u,637,0.02420212765957447,-6.456769655572163,-0.15626756347262416
804,g,571,0.02169452887537994,-6.3473892096560105,-0.13770361849215737
448,h,431,0.016375379939209726,-6.066108090103747,-0.09933482472776273
671,al,364,0.013829787234042552,-5.8971538676367405,-0.08155638327582726
136,b,359,0.013639817629179332,-5.883322388488279,-0.08024744443264788
483,v,334,0.012689969604863223,-5.8111409929767,-0.073743202570449
864,er,304,0.011550151975683891,-5.717027701406222,-0.06603253880043661
321,f,284,0.010790273556231003,-5.648974238161206,-0.060953977341861046
653,tion,281,0.01067629179331307,-5.638354669333745,-0.0601967196839963
542,ct,254,0.009650455927051672,-5.537334267018537,-0.053437800297215364
23,et,249,0.00946048632218845,-5.517452896464707,-0.05219778766032341
1088,se,247,0.009384498480243161,-5.5093883366279774,-0.05170284647215465
176,de,247,0.009384498480243161,-5.5093883366279774,-0.05170284647215465
319,w,245,0.009308510638297872,-5.5012582105447265,-0.0512085205768791
720,ra,193,0.0073328267477203645,-5.262690188904886,-0.038590395382167283
1010,k,193,0.0073328267477203645,-5.262690188904886,-0.038590395382167283
749,ing,184,0.006990881458966565,-5.214935757608986,-0.036456997697570416
345,ar,168,0.006382978723404255,-5.123963979403259,-0.032706153060020796
1009,x,154,0.005851063829787234,-5.0369526024136295,-0.029471531184335067
697,j,137,0.00520516717325228,-4.919980925828125,-0.025609323208147915
754,si,123,0.004673252279635259,-4.812184355372417,-0.022488551508769276
90,pro,118,0.004483282674772037,-4.770684624465665,-0.021388327723668256
407,z,114,0.004331306990881459,-4.736198448394496,-0.020513929449733
1021,su,112,0.00425531914893617,-4.718498871295094,-0.02007871860125572
285,ob,110,0.004179331306990881,-4.700480365792417,-0.019644864750652195
485,im,108,0.004103343465045593,-4.68213122712422,-0.01921239257330607
704,ject,100,0.003799392097264438,-4.605170185988091,-0.017496847211200955
932,con,100,0.003799392097264438,-4.605170185988091,-0.017496847211200955
228,vi,98,0.003723404255319149,-4.584967478670572,-0.01707168742058192
766,di,98,0.003723404255319149,-4.584967478670572,-0.01707168742058192
399,li,97,0.0036854103343465046,-4.574710978503383,-0.016859687116824777
310,tr,93,0.003533434650455927,-4.532599493153256,-0.016015644105746688
514,op,90,0.003419452887537994,-4.499809670330265,-0.015386887170582213
539,object,88,0.0033434650455927053,-4.477336814478207,-0.014969819136553276
984,us,88,0.0033434650455927053,-4.477336814478207,-0.014969819136553276
866,th,87,0.0033054711246200607,-4.465908118654584,-0.014761930331419027
920,ha,71,0.002697568389057751,-4.2626798770413155,-0.011498870488979233
695,sual,68,0.0025835866261398176,-4.219507705176107,-0.010901463675986902
538,visual,67,0.002545592705167173,-4.204692619390966,-0.010703434859391896
110,ot,67,0.002545592705167173,-4.204692619390966,-0.010703434859391896
301,detec,66,0.002507598784194529,-4.189654742026425,-0.010505973137300307
815,detect,65,0.0024696048632218844,-4.174387269895637,-0.01030908710270579
971,per,63,0.0023936170212765957,-4.143134726391533,-0.009917077802532924
795,tection,57,0.0021656534954407297,-4.04305126783455,-0.008755848110431967
153,work,56,0.002127659574468085,-4.02535169073515,-0.008564578065393935
465,word,56,0.002127659574468085,-4.02535169073515,-0.008564578065393935
493,descrip,56,0.002127659574468085,-4.02535169073515,-0.008564578065393935
523,scription,55,0.0020896656534954406,-4.007333185232471,-0.008373986519292777
93,detection,55,0.0020896656534954406,-4.007333185232471,-0.008373986519292777
22,description,54,0.0020516717325227965,-3.9889840465642745,-0.00818408580982032
1086,age,54,0.0020516717325227965,-3.9889840465642745,-0.00818408580982032
371,att,48,0.00182370820668693,-3.871201010907891,-0.007059941053327461
562,xt,48,0.00182370820668693,-3.871201010907891,-0.007059941053327461
449,hot,47,0.0017857142857142857,-3.8501476017100584,-0.006875263574482247
252,com,46,0.0017477203647416413,-3.828641396489095,-0.0066913945379368685
728,shot,45,0.001709726443768997,-3.8066624897703196,-0.0065083515212638445
714,zero,45,0.001709726443768997,-3.8066624897703196,-0.0065083515212638445
353,set,43,0.0016337386018237083,-3.7612001156935624,-0.00614481781819237
972,unit,40,0.001519756838905775,-3.6888794541139363,-0.005606199778288657
354,use,40,0.001519756838905775,-3.6888794541139363,-0.005606199778288657
717,ty,39,0.0014817629179331307,-3.6635616461296463,-0.005428529794796968
961,attention,37,0.001405775075987842,-3.6109179126442243,-0.005076138403033294
959,ity,37,0.001405775075987842,-3.6109179126442243,-0.005076138403033294
313,model,37,0.001405775075987842,-3.6109179126442243,-0.005076138403033294
910,learn,36,0.0013677811550151975,-3.58351893845611,-0.004901469672660332
991,train,36,0.0013677811550151975,-3.58351893845611,-0.004901469672660332
401,concept,35,0.0013297872340425532,-3.5553480614894135,-0.004727856464746561
1060,proposal,35,0.0013297872340425532,-3.5553480614894135,-0.004727856464746561
222,pre,35,0.0013297872340425532,-3.5553480614894135,-0.004727856464746561
762,pose,34,0.0012917933130699088,-3.5263605246161616,-0.004555328945172853
777,lin,34,0.0012917933130699088,-3.5263605246161616,-0.004555328945172853
655,text,33,0.0012537993920972645,-3.4965075614664802,-0.004383919055030162
54,sion,33,0.0012537993920972645,-3.4965075614664802,-0.004383919055030162
617,data,33,0.0012537993920972645,-3.4965075614664802,-0.004383919055030162
314,ren,33,0.0012537993920972645,-3.4965075614664802,-0.004383919055030162
911,tw,32,0.0012158054711246201,-3.4657359027997265,-0.004213660672096932
63,propose,32,0.0012158054711246201,-3.4657359027997265,-0.004213660672096932
506,level,31,0.0011778115501519756,-3.4339872044851463,-0.004044589792516699
567,form,29,0.001101823708206687,-3.367295829986474,-0.0037101663780246103
963,bo,29,0.001101823708206687,-3.367295829986474,-0.0037101663780246103
788,two,29,0.001101823708206687,-3.367295829986474,-0.0037101663780246103
519,ab,28,0.0010638297872340426,-3.332204510175204,-0.003544898415080004
690,textual,27,0.0010258358662613982,-3.295836866004329,-0.0033809876664938027
432,lem,27,0.0010258358662613982,-3.295836866004329,-0.0033809876664938027
734,learning,26,0.000987841945288754,-3.258096538021482,-0.0032184844220576954
572,tic,25,0.0009498480243161094,-3.2188758248682006,-0.003057442842769947
908,image,25,0.0009498480243161094,-3.2188758248682006,-0.003057442842769947
901,dataset,24,0.000911854103343465,-3.1780538303479458,-0.0028979214258491905
1055,experiment,23,0.0008738601823708207,-3.1354942159291497,-0.0027399835473545
265,posed,23,0.0008738601823708207,-3.1354942159291497,-0.0027399835473545
337,base,22,0.0008358662613981763,-3.0910424533583156,-0.002583698099311662
394,network,22,0.0008358662613981763,-3.0910424533583156,-0.002583698099311662
855,branch,22,0.0008358662613981763,-3.0910424533583156,-0.002583698099311662
524,proposed,22,0.0008358662613981763,-3.0910424533583156,-0.002583698099311662
96,training,21,0.0007978723404255319,-3.044522437723423,-0.002429140242864433
130,result,21,0.0007978723404255319,-3.044522437723423,-0.002429140242864433
66,class,21,0.0007978723404255319,-3.044522437723423,-0.002429140242864433
922,seen,20,0.0007598784194528875,-2.995732273553991,-0.002276392305132212
454,bi,20,0.0007598784194528875,-2.995732273553991,-0.002276392305132212
801,language,20,0.0007598784194528875,-2.995732273553991,-0.002276392305132212
1008,used,19,0.0007218844984802432,-2.9444389791664407,-0.0021255448557812454
1006,go,19,0.0007218844984802432,-2.9444389791664407,-0.0021255448557812454
574,art,19,0.0007218844984802432,-2.9444389791664407,-0.0021255448557812454
250,ht,19,0.0007218844984802432,-2.9444389791664407,-0.0021255448557812454
1043,dif,19,0.0007218844984802432,-2.9444389791664407,-0.0021255448557812454
81,differ,18,0.0006838905775075987,-2.890371757896165,-0.0019766980107192617
292,ence,18,0.0006838905775075987,-2.890371757896165,-0.0019766980107192617
286,feature,18,0.0006838905775075987,-2.890371757896165,-0.0019766980107192617
570,ferent,18,0.0006838905775075987,-2.890371757896165,-0.0019766980107192617
11,seman,18,0.0006838905775075987,-2.890371757896165,-0.0019766980107192617
880,cate,17,0.0006458966565349544,-2.833213344056216,-0.0018299630261761274
907,rate,17,0.0006458966565349544,-2.833213344056216,-0.0018299630261761274
219,perform,17,0.0006458966565349544,-2.833213344056216,-0.0018299630261761274
376,framework,17,0.0006458966565349544,-2.833213344056216,-0.0018299630261761274
253,follow,17,0.0006458966565349544,-2.833213344056216,-0.0018299630261761274
1031,embedding,17,0.0006458966565349544,-2.833213344056216,-0.0018299630261761274
400,novel,17,0.0006458966565349544,-2.833213344056216,-0.0018299630261761274
