,keywords,number_of_times_word_appeared,idf,tf,tf_idf
3929,['ent'],768,-6.643789733147672,0.006751292239530223,-0.04485416606647045
2622,['ter'],390,-5.966146739123692,0.003428390590386441,-0.020454281341276415
3,['energy'],300,-5.703782474656201,0.002637223531066493,-0.015042149358248005
1599,['pro'],294,-5.683579767338681,0.0025844790604451634,-0.014689092897056616
2200,['ment'],291,-5.673323267171493,0.0025581068251344986,-0.014512966970945748
2621,['cen'],258,-5.552959584921617,0.0022680122367171843,-0.012594180288598204
10,['data'],257,-5.54907608489522,0.002259221491613629,-0.012536591949594496
614,['con'],249,-5.517452896464707,0.0021888955307851894,-0.012077127986389396
814,['enter'],233,-5.4510384535657,0.00204824360912831,-0.011165054675628611
45,['center'],225,-5.41610040220442,0.00197791764829987,-0.010712600570484147
4098,['ate'],219,-5.389071729816501,0.00192517317767854,-0.01037489634682842
196,['com'],214,-5.365976015021851,0.0018812194521607652,-0.010094578459287212
1217,['per'],185,-5.220355825078324,0.0016262878441576708,-0.008489801220502568
4071,['man'],182,-5.204006687076795,0.001599915608847006,-0.008325971527198361
8,['green'],166,-5.111987788356543,0.0014592636871901263,-0.007459738148908068
641,['ser'],166,-5.111987788356543,0.0014592636871901263,-0.007459738148908068
1077,['efﬁ'],164,-5.099866427824199,0.0014416821969830162,-0.0073523866359855175
83,['use'],138,-4.927253685157205,0.0012131228242905868,-0.00597736390653411
227,['server'],124,-4.820281565605037,0.0010900523928408172,-0.005254359454754251
7199,['age'],120,-4.787491742782046,0.0010548894124265973,-0.005050274351540538
223,['power'],118,-4.770684624465665,0.0010373079222194873,-0.004948668955368934
6079,['ters'],118,-4.770684624465665,0.0010373079222194873,-0.004948668955368934
1078,['ciency'],117,-4.762173934797756,0.0010285171771159324,-0.004897977692353261
346,['work'],115,-4.74493212836325,0.0010109356869088225,-0.004796821220522643
5746,['ric'],114,-4.736198448394496,0.0010021449418052674,-0.0047463573184445
