,keywords,relevance,paper,conference
0,['iot article'],[0.6889],['paperTitel'],['conferenceTitel']
1,['iot refers connecting'],[0.6702],['paperTitel'],['conferenceTitel']
2,['iot pradyumna gokhale'],[0.65],['paperTitel'],['conferenceTitel']
3,['internet things describe'],[0.5374],['paperTitel'],['conferenceTitel']
4,['objects sensors internet'],[0.4377],['paperTitel'],['conferenceTitel']
5,['soa introduction internet'],[0.4042],['paperTitel'],['conferenceTitel']
6,['life connect internet'],[0.4036],['paperTitel'],['conferenceTitel']
7,['devices discussed early'],[0.381],['paperTitel'],['conferenceTitel']
8,['connecting various physical'],[0.3642],['paperTitel'],['conferenceTitel']
9,['projects cardiac device'],[0.3605],['paperTitel'],['conferenceTitel']
10,['via ubiquitous'],[0.3568],['paperTitel'],['conferenceTitel']
11,['technological development keywords'],[0.3071],['paperTitel'],['conferenceTitel']
12,['gokhale omkar bhat'],[0.2825],['paperTitel'],['conferenceTitel']
13,['based standards communication'],[0.2558],['paperTitel'],['conferenceTitel']
14,['doi iarjset citations'],[0.2452],['paperTitel'],['conferenceTitel']
15,['things describe system'],[0.2412],['paperTitel'],['conferenceTitel']
16,['tools analysis view'],[0.2075],['paperTitel'],['conferenceTitel']
17,['smt'],[0.1996],['paperTitel'],['conferenceTitel']
18,['occurred integration'],[0.1801],['paperTitel'],['conferenceTitel']
19,['efficiency accuracy concept'],[0.1239],['paperTitel'],['conferenceTitel']
