,keywords,relevance,conference
80,information systems acis,0.8346,Australasian Conference on Information Systems
120,lingvisticæ investigationes publishes,0.8153,
20,engineering technology iarjset,0.7659,
60,artificial intelligence agriculture,0.7464,
140,sustainable energy reviews,0.7454,Renewable and Sustainable Energy Reviews
100,energy artificial intelligence,0.7333,
21,technology iarjset provide,0.72,
40,data mining knowledge,0.7176,Data Mining and Knowledge Discovery
81,acis,0.7081,Australasian Conference on Information Systems
22,iarjset provide international,0.7066,
121,lingvisticæ,0.7054,
82,systems acis,0.7013,Australasian Conference on Information Systems
41,discovery databases kdd,0.6927,Data Mining and Knowledge Discovery
83,systems acis premier,0.6656,Australasian Conference on Information Systems
84,acis premier australasia,0.6609,Australasian Conference on Information Systems
85,acis premier,0.6326,Australasian Conference on Information Systems
61,agriculture smart sensors,0.631,
62,ai food engineering,0.6233,
23,iarjset,0.6202,
101,ai ethics energy,0.618,
42,data exploration discovery,0.6176,Data Mining and Knowledge Discovery
86,conferences information systems,0.6145,Australasian Conference on Information Systems
102,energy research journal,0.6003,
43,distributed data mining,0.5993,Data Mining and Knowledge Discovery
24,technology international advanced,0.5993,
44,knowledge discovery premier,0.5982,Data Mining and Knowledge Discovery
25,technology iarjset monthly,0.594,
141,climate change renewable,0.5893,Renewable and Sustainable Energy Reviews
87,australasia information systems,0.5883,Australasian Conference on Information Systems
88,information systems academics,0.5758,Australasian Conference on Information Systems
26,advanced research journal,0.5706,
27,international advanced research,0.569,
103,roadmaps energy robotics,0.5678,
89,australasian conferences,0.5668,Australasian Conference on Information Systems
63,things agricultural robotics,0.5659,
90,information systems,0.5638,Australasian Conference on Information Systems
64,agriculture food,0.552,
142,energy resources,0.552,Renewable and Sustainable Energy Reviews
104,cyber physical energy,0.5511,
122,grammars electronic dictionaries,0.5501,
143,critical thinking renewable,0.5438,Renewable and Sustainable Energy Reviews
123,linguistic,0.5376,
124,linguistic basis journal,0.5345,
65,applications agriculture journal,0.5292,
45,discovery process,0.529,Data Mining and Knowledge Discovery
105,critical challenges energy,0.5284,
46,advances data gathering,0.5255,Data Mining and Knowledge Discovery
125,dealing lexicon,0.5247,
47,data knowledge visualization,0.522,Data Mining and Knowledge Discovery
144,energy bibliographic,0.5183,Renewable and Sustainable Energy Reviews
106,intelligence ai journal,0.5126,
107,design energy materials,0.5112,
66,food bio system,0.5096,
108,clean energy,0.4988,
48,mining systems tools,0.4965,Data Mining and Knowledge Discovery
49,statistics databases pattern,0.4912,Data Mining and Knowledge Discovery
50,modelling data warehousing,0.4898,Data Mining and Knowledge Discovery
145,carbon accounting energy,0.4682,Renewable and Sustainable Energy Reviews
28,engineering technology,0.4671,
146,fossil fuels including,0.4648,Renewable and Sustainable Energy Reviews
51,kdd rapidly growing,0.4643,Data Mining and Knowledge Discovery
109,energy decarbonization sustainable,0.4615,
126,integrated text analysis,0.4611,
110,data collections energy,0.4609,
111,chemistry energy utilization,0.4568,
91,information technology,0.4544,Australasian Conference on Information Systems
0,image minings applications,0.4519,International Journal of Computer Science and Network Security (JCSNS )
1,cryptography foundation computer,0.4512,International Journal of Computer Science and Network Security (JCSNS )
127,submit french english,0.444,
92,systems academics covering,0.4387,Australasian Conference on Information Systems
52,extracting useful patterns,0.4345,Data Mining and Knowledge Discovery
53,data cleaning selection,0.4343,Data Mining and Knowledge Discovery
147,nations sustainability development,0.4329,Renewable and Sustainable Energy Reviews
128,resources grammars,0.4313,
129,semantics focuses studies,0.427,
2,related computer networks,0.4255,International Journal of Computer Science and Network Security (JCSNS )
67,animal feeding expert,0.4195,
