,keywords,relevance,paper
1600,neuromorphic photonics,0.7982,Massively scalable wavelength diverse integrated photonic linear neuron
60,mining dns forums,0.7849,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1500,binary stochastic synapses,0.7456,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
100,probabilistic hesitant fuzzy elements,0.7296," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
800,neuromorphic computing,0.7191,superconducting nanowire-based architecture for neuromorphic computing
220,kubernetes anomaly detector,0.714,Detection of Cluster Anomalies With ML Techniques
1620,binocular torsional eye movement control,0.7069,Learning torsional eye movements through active efficient coding
920,smart manufacturing,0.6937,Management of tools in digital manufacturing - A case study
1340,photonic neural network,0.6906,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
400,sparse networks,0.6857,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1120,deep residual networks,0.6804,Multilevel minimization for deep residual networks
700,cosmological dynamics,0.6793,A duality connecting neural network and cosmological dynamics
680,accurate molecular force fields,0.6741,Quantum neural networks force fields generation
1420,manufacturing execution system,0.6732,Development of an advanced MES for the simulation and optimization of industry 4.0 process
1640,galaxy morphology classification,0.6721,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
580,uav trajectory planning,0.6708,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1460,abstract fog computing,0.6704,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
1501,neuromorphic hardware,0.668,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
820,belief propagation,0.6672,Deep learning via message passing algorithms based on belief propagation
440,industrial energy management system,0.6667,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
900,vibration micro drilling tool,0.6634,Digital Twins for Micro Machining
660,robot optimization,0.655,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1060,robust classification,0.6511,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
740,neuromorphic computing,0.6491,Convolutional neural networks with radio-frequency spintronic nano-devices
1160,private inference,0.648,Concretely efficient secure multi-party computation protocols: survey and more
1380,different smart manufacturing scenarios,0.6393,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1341,neuromorphic electronics,0.6351,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
460,tourism recommendation researches,0.6346,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
1300,implicit privacy attributes,0.632,Implicit privacy preservation: a framework based on data generation
1040,kubernetes,0.6309,Predictive Hybrid Autoscaling for Containerized Applications
1440,ant colony optimization,0.6308,Ant colony optimization with semi random initialization for nurse rostering problem
1540,molecular reinforcement learning,0.6307,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
340,iot security authentication,0.6304,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
500,sparse code multiple access,0.6302,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
560,principal component analysis,0.6294,Non-negative Matrix Factorization for Dimensionality Reduction
1200,physical layer security research,0.6273,Physical layer security techniques for data transmission for future wireless networks
1100,minimax supervised,0.6253,Box-constrained optimization for minimax supervised learning
380,underparametrized deep neural networks,0.6248,Subaging in underparametrized deep neural networks 
1320,sem image quality assessment,0.6236,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
1480,neuromorphic attitude estimation,0.6232,Neuromorphic computing for attitude estimation onboard quadrotors
1441,nurse scheduling,0.6229,Ant colony optimization with semi random initialization for nurse rostering problem
140,reram devices,0.6219, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
540,arrival delays prediction,0.6148,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
480,intrusion detection,0.6125,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
960,android runtime,0.6107,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1520,virtual experiences,0.6087,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
1260,secure transmission technology,0.6076,Secure transmission technology based on direct modulation with random channel characteristics
980,microgrid power sharing framework,0.6045,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
320,mobile ad hoc networks,0.603,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1580,fast jet simulation,0.6018,Particle-based fast jet simulation at the LHC with variational autoencoders
221,cluster anomalies,0.5997,Detection of Cluster Anomalies With ML Techniques
40,hearing thresholds,0.5996,Audiogram Digitization Tool for Audiological Reports
921,tools lifecycle management,0.5966,Management of tools in digital manufacturing - A case study
1000,data compression,0.5955,Multi-Dimensional Data Compression and Query Processing in Array Databases
141,memristor,0.5942, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
922,wokshop production management model,0.5883,Management of tools in digital manufacturing - A case study
401,activation sparsity,0.5877,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
120,multiple pickup locations,0.5867," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
80,route generation research,0.5862, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
1180,generalized functional safety,0.5857,Problems and solutions regarding generalized functional safety in cyberspace
940,erp model,0.5834,How to apply the ERP model for Smart Mining?
1381,industrial big data,0.5814,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
300,molecular similarity,0.5811,Metric learning for kernel ridge regression: assessment of molecular similarity
1061,feature selection,0.5802,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
81,cycling training routes,0.5801, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
1360,machining modeling,0.5786,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
541,flight delays,0.577,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
941,smart mining,0.5752,How to apply the ERP model for Smart Mining?
1560,baryonic physics,0.5744,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
780,optical encryption,0.5743,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
160,simulated human cell membrane,0.5742,A biology-informed similarity metric for simulated patches of human cell membrane
280,sleep apnea,0.5731,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
0,mobility robustness optimization,0.5725,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
620,virtual brain modelling,0.57,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
640,simulated particle physics decay structures,0.5697,Learning tree structures from leaves for particle decay reconstruction
520,hoarse denoising device,0.5654,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1,ieee vehicular technology society section,0.5633,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
260,network function virtualization,0.5613,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
923,collaborative technology system,0.5603,Management of tools in digital manufacturing - A case study
1280,fault detection,0.559,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
240,neuromorphic computing,0.558,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
61,reliable dns infrastructure,0.5571,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
360,secure executions,0.5565,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
180,iot network deployments,0.5543,Carbon Footprint vs Energy Optimization in IoT Network Deployments
41,audiogram,0.5493,Audiogram Digitization Tool for Audiological Reports
181,low power wide area networks,0.543,Carbon Footprint vs Energy Optimization in IoT Network Deployments
581,wing uavs,0.5427,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1561,computational astrophysics,0.5412,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
1140,intrusion detection,0.54,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1621,developmental robotics,0.5395,Learning torsional eye movements through active efficient coding
1541,new molecular designs,0.5393,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
420,unsupervised representation disentanglement,0.5379,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
880,power co2 laser cutting,0.5347,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
1481,quadrotors,0.5346,Neuromorphic computing for attitude estimation onboard quadrotors
1601,linear neuron,0.5319,Massively scalable wavelength diverse integrated photonic linear neuron
1001,multidimensional data,0.5276,Multi-Dimensional Data Compression and Query Processing in Array Databases
840,video coding,0.5263,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1521,oculus quest,0.5243,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
1220,precise ddos prediction,0.5239,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
1581,deep variational autoencoders,0.5223,Particle-based fast jet simulation at the LHC with variational autoencoders
