,keywords,number_of_times_word_appeared,idf,tf,tf_idf
2476,['pro'],118,-4.770684624465665,0.0031195474012583936,-0.01488237682247524
117,['ject'],100,-4.605170185988091,0.0026436842383545708,-0.012174615835637103
271,['con'],100,-4.605170185988091,0.0026436842383545708,-0.012174615835637103
5,['object'],88,-4.477336814478207,0.0023264421297520222,-0.010416264994291815
2374,['sual'],68,-4.219507705176107,0.0017977052820811082,-0.0075854312893770225
91,['visual'],67,-4.204692619390966,0.0017712684396975625,-0.007447639335356493
1873,['detec'],66,-4.189654742026425,0.001744831597314017,-0.007310241975724213
77,['detect'],65,-4.174387269895637,0.001718394754930471,-0.0071732451896371905
882,['per'],63,-4.143134726391533,0.0016655210701633798,-0.006900478183330687
378,['tection'],57,-4.04305126783455,0.0015069000158621055,-0.0060924740196311895
397,['word'],56,-4.02535169073515,0.0014804631734785596,-0.0059593849384330455
562,['descrip'],56,-4.02535169073515,0.0014804631734785596,-0.0059593849384330455
103,['work'],56,-4.02535169073515,0.0014804631734785596,-0.0059593849384330455
1712,['ith'],55,-4.007333185232471,0.001454026331095014,-0.005826767968798866
74,['scription'],55,-4.007333185232471,0.001454026331095014,-0.005826767968798866
6,['detection'],55,-4.007333185232471,0.001454026331095014,-0.005826767968798866
392,['age'],54,-3.9889840465642745,0.0014275894887114684,-0.005694631695512897
380,['description'],54,-3.9889840465642745,0.0014275894887114684,-0.005694631695512897
934,['use'],49,-3.891820298110627,0.0012954052767937397,-0.005041484550505492
2230,['att'],48,-3.871201010907891,0.001268968434410194,-0.004912431886098948
1453,['hot'],47,-3.8501476017100584,0.0012425315920266483,-0.004783930029090381
95,['com'],46,-3.828641396489095,0.0012160947496431026,-0.004655990700536625
520,['zero'],45,-3.8066624897703196,0.001189657907259557,-0.004528626131223614
521,['shot'],45,-3.8066624897703196,0.001189657907259557,-0.004528626131223614
159,['set'],43,-3.7612001156935624,0.0011367842224924655,-0.004275672949157277
